"id","name","type","first","last","website","weight","created_at","modified_at"
"61","Yasmeen Abu-Laban","Researcher","Yasmeen","Abu-Laban","https://www.ualberta.ca/arts/about/people-collection/yasmeen-abu-laban/","0","0000-00-00 00:00:00","2018-02-26 07:23:54"
"62","Political Science","Department",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"63","security","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"64","slavery","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"65","public","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"66","border","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"67","immigration","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"68","ethnic","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"69","nationalism","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"70","politics","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"71","israel","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"72","conferences","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"73","america","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"74","canada","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"75","racialization","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"76","europe","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"77","gender","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"78","antiracism","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"79","colour","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
