Cor Baerveldt,department,Psychology,interests,"['guidance', 'central', 'discursive', 'respect', 'expression', 'moral', 'critique', 'sociocultural', 'boundaries', 'society', 'individual', 'merleauponty', 'french', 'embodied', 'coordinated', 'encounter', 'contrast', 'ludwig', 'largescale', 'normative', 'constitution', 'decade', 'form', 'outcome', 'competences', 'agents', 'epistemological', 'sense', 'ritual', 'account', 'dependent', 'variables', 'insight', 'environment', 'character', 'open', 'foucault', 'methodological', 'inspiration', 'framework', 'belief', 'nature', 'conceptualization', 'relative', 'german', 'source', 'acculturation', 'relation', 'prayer', 'risk', 'appropriation', 'horse', 'person', 'anthropology', 'style', 'norms', 'philosopher', 'pivotal', 'agency', 'independent', 'suicide', 'couple', 'disciplinary', 'ritualization', 'domain', 'mainstream', 'existential', 'discipline', 'force', 'aesthetic', 'wittgenstein', 'naturalism', 'rooted', 'functional']"
Allen Ball,department, ,interests,"['multimedia', 'lethbridge', 'artist', 'nonverbal', 'spectacle', 'embedded', 'limits', 'photography', 'evangelical', 'painting', 'war', 'interrogating', 'stemming']"
Karyn Ball,department, ,interests,"['thesis', 'narrative', 'loss', 'rhetorical', 'modernity', 'holocaust', 'psychoanalysis', 'aggression', 'trauma', 'criticism', 'literary', 'deconstruction', 'institution']"
Sanjay Banerjee,department, 
Shyamal Baqchee,department, ,interests,"['romantic', 'speculative', 'erotic', 'interpretation']"
Thomas Barker,department,Interdisciplinary Studies,interests,"['health', 'technical']"
David Barnet,department,Drama,interests,"['theatre', 'liberal', 'aging', 'specialization', 'shakespeare', 'intergenerational', 'scene', 'performercreated']"
Jaimie Baron,department, ,interests,"['animation', 'documentary', 'film', 'historiography']"
Howard Bashaw,department, ,interests,['composition']
Peter Baskerville,department, ,interests,"['heterogeneity', 'mobility', 'migration', 'census', 'infrastructure', 'wealth', 'universities', 'original', 'digitized', 'formation', 'settlement', 'population', 'initiative', 'website']"
Jane Batcheller,department,Finance and Statistical Analysis,interests,"['textile', 'archaeology', 'simulation', 'movement']"
Richard W. Bauman,department, ,interests,"['latin', 'jurisprudence']"
Zohreh Bayatrizi,department,Sociology,interests,"['external', 'dying', 'expectations', 'death', 'iran', 'inequality', 'interconnections', 'uk', 'imagination', 'ngo', 'class', 'biopolitics', 'expansion']"
William Beard,department, ,interests,['genre']
Laura Beard,department, ,interests,"['interamerican', 'feminist']"
Richard Beason,department, 
Martin Beaudoin,department,Campus Saint-Jean,interests,['didactique']
David Beck,department, ,interests,"['descriptive', 'coast', 'phonology', 'sketch', 'document', 'semantic', 'morphosyntax', 'interface', 'crosslinguistic', 'oral', 'contact', 'dictionary', 'grammar', 'documentation', 'totonac', 'typology', 'dissertation', 'shift', 'grammatical', 'frequency', 'diffusion', 'effort', 'dynamics', 'necaxa', 'native', 'fieldwork', 'endangered', 'spoken']"
Yvonne Becker,department, ,interests,"['female', 'fitness', 'athletes', 'growth']"
Gordon Bell,department, ,interests,"['physical', 'healthrelated', 'skeletal', 'effects', 'spinal', 'metabolism', 'injury', 'cardiorespiratory', 'cellular', 'prescription']"
Catherine E. Bell,department, ,interests,"['domestic', 'heritage', 'resolution', 'dispute', 'inuit']"
Ehud Ben Zvi,department, ,interests,"['historiographic', 'distribution', 'fields', 'hebrew', 'intellectual', 'books', 'bible', 'persian', 'reception', 'electronic', 'temple', 'dissemination', 'biblical', 'cooperation', 'founder', 'hellenistic']"
Tanya Berry,department, ,interests,"['diet', 'attention', 'reflective', 'relevance', 'foundation', 'longterm', 'innovative', 'medical', 'reflection', 'institutes', 'goal', 'heart', 'examination', 'exercise', 'decisionmaking', 'implicit', 'messages', 'efficacy', 'cihr']"
Ellen Bielawski,department, ,interests,"['selfdetermination', 'alaska', 'rural', 'dene', 'preservation']"
Olenka Bilash,department, ,interests,"['korea', 'leadership', 'evaluation', 'bilingual', 'edutainment', 'impacts', 'adaptive', 'transformation', 'career', 'publishing', 'immersion', 'frontier', 'methodology']"
Barbara Billingsley,department, ,interests,"['civil', 'devices', 'fashion', 'clothing', 'crosscultural']"
Katalin Bimbo,department,Philosophy,interests,"['category', 'mathematical', 'informatics', 'logical', 'excellence', 'rule', 'formalism', 'mathematics', 'programming', 'classical', 'logic', 'modal', 'relational', 'dynamic', 'algorithms']"
Katherine Binhammer,department, ,interests,"['transatlantic', 'seduction', 'sexuality', 'assumption', 'eighteenthcentury', 'challenge', 'britain', 'capitalism', 'standard', 'novels', 'british', 'undergraduate', 'exchange', 'awareness', 'restoration']"
Ted Bishop ,department, ,interests,"['penguin', 'virginia', 'finalist', 'travel', 'nonfiction', 'awards']"
Anne Bissonnette,department, ,interests,"['convergence', 'dress']"
Heather A. Blair,department,Elementary Education,interests,"['literacy', 'cofounder', 'girls', 'cilldi']"
Marina Blekher,department, ,interests,"['psycholinguistics', 'bilingualism']"
Patricia Boechler,department, ,interests,"['inform', 'fetal', 'transition', 'reasoning', 'game', 'orientation', 'ability', 'spatial', 'cognition', 'virtual', 'developmental', 'classroom', 'syndrome', 'model']"
Frederic Boily,department, 
Betsy Boone,department, ,interests,"['illustrations', 'western', 'nineteenthcentury', 'surrealist', 'california', 'france', 'author', 'display', 'spain', 'spanish', 'exhibition', 'mexican', 'twentiethcentury', 'metaphor', 'annual', 'coordinates', 'mountain', 'recipient', 'west', 'transformational', 'england', 'aural']"
Marisa Bortulossi Dixon,department, 
Branco Boskovic,department, 
Marcel Bouffard,department, ,interests,['skill']
Normand Boule,department, ,interests,"['diabetes', 'obesity', 'factors', 'relationship']"
Rick Bowers,department, ,interests,"['jacobean', 'elizabethan']"
Peter Boxall,department, ,interests,"['socioeconomic', 'involvement', 'boreal', 'comanagement', 'recovery', 'conservation', 'competitive', 'recreation', 'poplar', 'timber', 'integrated', 'allocation', 'values', 'species', 'zoning', 'caribou', 'supply', 'hybrid', 'intensive']"
Christopher Bracken,department, ,interests,"['reader', 'encyclopedia', 'concept', 'freedom', 'semiotics', 'rhetoric', 'chicago']"
Jennifer L. Branch,department, ,interests,"['isolation', 'method']"
Willi Braun,department, ,interests,"['meaningful', 'religion', 'socioreligious', 'iconography', 'margins', 'christian', 'christianity']"
Robyn Braun,department, 
Albert Braz,department, ,interests,"['phd', 'brazil', 'continental', 'fiction', 'prairie']"
Robert Brazeau,department, ,interests,"['ireland', 'irish', 'essay', 'journalism', 'booklength', 'sphere', 'newspaper']"
Rhonda Breitkreuz,department, ,interests,"['welfaretowork', 'parenting', 'preschool', 'disability', 'poverty', 'india', 'caregiving', 'disabled', 'wellbeing', 'adaptation']"
Vera Brencic,department, ,interests,['matching']
Ingo Brigandt,department, ,interests,"['evolutionary', 'epistemology', 'molecular', 'precursors', 'mind', 'biology']"
Tony Briggs,department, 
Janine Brodie,department, ,interests,"['worldwide', 'corporation', 'advertising', 'usa', 'teamwork']"
David Brown,department, ,interests,"['auction', 'regulation']"
Sylvia Brown,department, ,interests,"['sixteenthcentury', 'figure', 'spatiotemporal', 'textbased', 'complementary', 'mining', 'milton', 'separation', 'secondgeneration', 'bunyan', 'hypertext', 'meditations', 'exploration', 'application', 'edition', 'cambridge', 'isles', 'sound', 'forum', 'victorian', 'encoding', 'poets']"
Norman Brown,department, ,interests,"['survey', 'geography', 'overview', 'relevant', 'result', 'judgment', 'strategy', 'event', 'transitional', 'complex']"
Philip Bryden,department, 
Sandra Bucerius,department, ,interests,"['disadvantaged', 'ethnicity', 'inclusive', 'income', 'monograph', 'disengagement', 'capital', 'restructuring', 'controversial', 'place', 'victimization', 'intervention', 'residents', 'informal', 'muslim', 'neighbourhood', 'radical', 'men', 'extremism', 'ryerson', 'ethnography', 'male', 'interview', 'scale', 'terrorism', 'crime', 'fostering', 'recommendations', 'oxford', 'pilot', 'dignity', 'lanka', 'indepth', 'edmonton', 'marginalization', 'building', 'police', 'drug', 'diaspora', 'generation', 'belonging', 'resilience', 'park', 'minnesota']"
George Buck,department, ,interests,"['apparatus', 'delivery', 'instructional']"
Brad Bucknell,department, ,interests,"['salome', 'modernism']"
Tamara Buckwold,department, ,interests,"['property', 'enforcement', 'serialization', 'facility', 'emergency', 'location']"
Robert Burch,department, ,interests,"['postmetaphysical', 'immanent', 'engaged', 'heidegger', 'habermas', 'debt', 'hegel', 'possibility', 'instructor', 'husserl', 'truth', 'derrida', 'fundamental', 'love', 'kant', 'senior', 'sartre', 'college', 'levinas', 'wisdom', 'consequence', 'earth', 'heaven', 'irony']"
Siobhan Byrne,department, ,interests,"['peace', 'postconflict', 'activism', 'code']"
Ken Caine,department, ,interests,"['socialecological', 'forestry', 'circumpolar', 'watershed', 'investigation', 'landuse', 'commons', 'experiential', 'clinician', 'columbia', 'choral', 'regina', 'conductor', 'germany', 'nova', 'choirs', 'manuscript']"
Laurent Camarata,department, ,interests,"['revolutionary', 'consciousness', 'regime', 'revolution', 'scholar', 'cornell']"
Michael Carbonaro,department, ,interests,"['nonprofit', 'simulationbased', 'multimodal', ""master's"", 'military', 'neural', 'graphics', 'augmented', 'healthcare', 'scenarios', 'blended', 'province']"
Rebecca Cardenal Sockbeson,department, ,interests,"['tribes', 'mother', 'island', 'engage', 'healing', 'indian', 'underrepresented', 'degree']"
Trudy Cardinal,department, 
Alexander Carpenter,department, ,interests,"['popular', 'musicology', 'francophone', 'quebec']"
Valerie Carson,department, ,interests,"['measurement', 'sedentary', 'determinants']"
Sarah Carter,department, ,interests,"['agriculture', 'colonization', 'borderlands', 'commemoration', 'capturing', 'imagery', 'colonialism', 'reserve', 'treaties', 'manitoba', 'implementation']"
Peter Carver,department, ,interests,"['centre', 'refugee']"
Julian Castro-Rea,department, ,interests,['federalism']
Sean Caulfield,department, ,interests,"['seattle', 'genetics', 'houston', 'fellowship', 'multidisciplinary', 'museum', 'texas', 'intermedia', 'calgary', 'printmaking', 'gallery', 'cell', 'biotechnology', 'transgenic', 'illinois', 'dance']"
Timothy Caulfield,department, ,interests,['bioethics']
Janice Causgrove Dunn,department, 
Martine Cavanagh,department, ,interests,"['expert', 'paradigme', 'texte', 'pistes', 'enseignement', 'lecture', 'minoritaire', 'milieu', 'processus', 'écriture', 'coherence']"
Kathryn Chandler,department, ,interests,"['federation', 'effective', 'rewarding']"
Craig Chapman,department, ,interests,"['object', 'component']"
Corinne Chaton,department, 
Jevan Cherniwchan,department, 
Dianne Chisholm,department, ,interests,"['transgender', 'landscape', 'queer']"
Loren Chiu,department, ,interests,"['mechanics', 'physiology', 'chronic']"
David Chorney,department, ,interests,"['researcher', 'depth', 'educator', 'rutherford', 'active', 'offering']"
Donna Chovanec,department, ,interests,"['counseling', 'gaps', 'city', 'gendered', 'chile', 'dimension', 'servicelearning']"
Jim Chrisman,department, 
John Church,department, ,interests,['reform']
Odile Cisneros,department, 
D. Jean Clandinin,department, ,interests,"['achievement', 'multisited', 'editing']"
Lisa Claypool,department, ,interests,"['mediation', 'shanghai', 'figurative']"
Dominique Clement,department, ,interests,['australia']
Russell Cobb,department, ,interests,"['introduction', 'map', 'storytelling', 'urbanism', 'pipelines']"
Susan Colberg,department, ,interests,"['graphic', 'washington', 'permanent', 'turkey', 'rare', 'clients', 'publishers']"
Beau Coleman,department, ,interests,"['performer', 'installation', 'mfa', 'intercultural', 'acting']"
Heather Coleman,department, ,interests,"['pastoral', 'orthodox', 'soviet', 'ukraine', 'illuminate', 'civic', 'russian', 'holy', 'russia']"
David Collins,department, ,interests,"['skin', 'distinction', 'brain', 'rehabilitation', 'feedback', 'signals']"
Herbert L. Colston,department, ,interests,['pragmatics']
Anne Commons,department, ,interests,"['influential', 'canon', 'deity', 'portraiture', 'lore', 'recognition', 'transmission', 'classics']"
Bill Connor,department, ,interests,['fictional']
Diane Conrad,department, ,interests,"['advocacy', 'poststructuralism', 'artsbased', 'performative', 'mobilizing', 'atrisk', 'paradigm']"
John Considine,department, ,interests,['academy']
David Cooper,department, ,interests,"['accounting', 'actor', 'scope', 'strategic']"
Kathleem Corcoran,department, 
Phil Corkum,department, ,interests,"['tool', 'metaphysics']"
Lesley Cormack,department, ,interests,"['practitioners', 'physics', 'craft', 'geographical']"
Damien Cormier,department, ,interests,"['report', 'clinical', 'identification']"
Kerry Courneya,department, ,interests,"['cohort', 'crosssectional', 'survivors', 'survival', 'randomized', 'counselling', 'internet', 'disease', 'quality', 'prevention', 'cancer']"
Claude Couture,department, ,interests,"['histoire', 'postcolonialisme', 'intellectuelle', 'pensée', 'politique', 'professorship', 'debut', 'architecture', 'imaginaire', 'montreal', 'campus', 'litterature', 'analyse', 'revue', 'fulbright', 'collectif', 'monde', 'interculturalisme', 'etudes', 'nouveau']"
Ivor Cribben,department, 
Elizabeth Czach,department, ,interests,"['tourism', 'filmmaking', 'postwar']"
Yvette d'Entremont,department, ,interests,"['variete', 'postsecondaire', 'scientifique', 'pedagogiques', 'projets', 'recherche', 'sujet', 'cycle', 'enseignants']"
Jose L. da Costa,department, ,interests,['success']
Jennifer Dailey-O'Cain,department, ,interests,"['planning', 'attitudes', 'dutch', 'ideology', 'multilingualism']"
Neil Dalal,department, 
David Dale-Johnson,department, 
Terry Daniel,department, ,interests,['uncertainty']
Lia Daniels,department, ,interests,"['codirector', 'longitudinal', 'emotional', 'anxiety', 'preservice', 'quasiexperimental']"
Pushpanjali Dashora,department, ,interests,"['selfefficacy', 'adolescent', 'homelessness', 'attachment']"
Margie Davenport,department, ,interests,"['cardiovascular', 'pregnancy', 'infant', 'metabolic']"
Walter David,department, ,interests,"['sinojapanese', 'asian', 'calligraphy', 'spectrum']"
Phil Davidson,department, 
Judy Davidson,department, ,interests,"['imperatives', 'adult', 'sociopolitical', 'neoliberalism', 'whiteness', 'pervasive', 'embodiment', 'affective', 'gay', 'settler', 'midlife', 'remaking', 'leisure', 'lesbian']"
Debra Davidson,department, ,interests,"['reclamation', 'extraction', 'participant', 'vulnerability']"
Walter Davis,department, 
Ann De Leon,department, ,interests,"['seventeenthcentury', 'praxis', 'ethnohistory']"
Jean DeBernardi,department,Anthropology,interests,"['taiwan', 'transnationalism', 'daoist', 'republic', 'daoism']"
David Deephouse,department, ,interests,['regional']
Piet Defraeye,department, ,interests,"['dramatic', 'audience', 'dramaturgy', 'play']"
Darren DeLorey,department, ,interests,"['flow', 'blood', 'animal']"
Patricia Demers,department, ,interests,"['renaissance', 'tales', 'database', 'green', 'athabasca', 'mosaic', 'facsimile', 'theology', 'interpreters', 'teambased', 'magazine', 'interactive', 'queen', 'country']"
Kent den Heyer,department, ,interests,"['mechanism', 'carleton', 'democratic', 'ottawa', 'ubc', 'cochair', 'coeditor']"
Jim Denison,department, ,interests,"['effectiveness', 'coaching', 'enhancement', 'foucauldian']"
Jacques Despres,department, ,interests,"['eclectic', 'combination', 'violin', 'highlights', 'sonatas', 'piano', 'diploma', 'cellist', 'beethoven', 'kalish', 'indiana', 'recording', 'carolina', 'lectured', 'conservatoire', 'naxos', 'disc']"
Cecily Devereux,department, ,interests,"['creditor', 'maternal', 'dancer', 'white', 'imperialism', 'empire', 'eugenics']"
